Datetime,PM2.5,PM10,NO,NO2,NOx,CO,O3,Benzene,Toluene,AQI,AQI_Bucket
2020-01-23,401.9,318.7,110.3,63.0,73.4,5.53,66.4,7.44,8.07,461.0,Severe
2020-01-24,339.2,305.6,194.2,19.1,221.9,1.24,187.7,15.8,19.27,436.1,Severe
2020-01-25,192.0,321.9,55.5,18.2,59.9,1.1,20.6,16.41,13.41,355.5,Very Poor
2020-01-26,463.6,484.1,116.9,19.9,118.8,2.87,24.6,7.58,11.95,485.5,Severe
2020-01-27,398.9,512.1,45.6,20.0,180.0,7.44,89.2,19.59,26.16,459.8,Severe
2020-01-28,32.9,425.3,33.6,43.0,48.5,4.16,133.8,7.08,3.31,394.1,Very Poor
2020-01-29,225.9,282.9,45.9,126.9,164.1,6.85,80.5,5.25,11.31,381.5,Very Poor
2020-01-30,126.9,581.5,142.3,105.0,155.8,8.14,71.2,14.44,19.1,489.2,Severe
2020-01-31,307.6,202.3,165.2,9.9,222.6,2.84,62.1,18.63,29.23,423.5,Severe
2020-02-01,110.8,359.5,128.9,48.3,42.0,8.81,108.5,12.44,1.9,311.7,Very Poor
2020-02-02,153.5,479.9,120.8,85.6,211.2,0.49,124.1,19.44,15.76,429.6,Severe
2020-02-03,14.8,307.8,161.8,28.8,6.5,9.24,154.8,15.03,24.87,257.8,Poor
2020-02-04,491.4,169.3,46.3,47.9,32.2,5.93,106.6,1.68,7.25,496.6,Severe
2020-02-05,99.5,88.4,173.5,53.0,66.4,9.5,162.4,5.21,9.95,230.0,Poor
2020-02-06,272.0,157.9,98.0,106.8,16.0,2.37,45.8,0.78,13.77,409.3,Severe
2020-02-07,285.3,547.4,160.7,21.2,210.2,7.85,69.5,13.04,26.08,469.2,Severe
2020-02-08,149.6,402.2,27.8,48.1,203.7,7.11,198.5,14.32,20.01,365.2,Very Poor
2020-02-09,148.8,87.0,183.9,94.9,65.2,7.5,42.7,8.08,22.89,322.3,Very Poor
2020-02-10,284.8,559.9,163.5,122.5,114.6,0.26,150.6,15.6,17.39,476.5,Severe
2020-02-11,202.0,184.9,69.6,17.5,100.2,2.42,154.1,1.97,24.45,363.2,Very Poor
2020-02-12,439.1,528.1,85.6,59.0,207.8,6.67,55.9,5.04,14.66,475.8,Severe
2020-02-13,460.2,18.2,92.8,71.4,99.2,5.85,49.9,10.34,7.29,484.2,Severe
2020-02-14,103.3,255.6,180.8,68.4,115.0,2.69,175.5,9.25,20.09,243.0,Poor
2020-02-15,283.2,343.0,50.7,128.2,61.7,5.85,130.0,6.29,10.31,413.8,Severe
2020-02-16,178.5,358.4,90.9,64.1,36.7,9.2,153.9,0.04,27.09,345.1,Very Poor
2020-02-17,19.6,430.0,9.6,74.9,32.1,0.92,95.7,8.51,7.14,400.0,Very Poor
2020-02-18,273.5,188.3,42.1,85.7,225.2,9.94,156.5,13.9,12.0,409.9,Severe
2020-02-19,110.2,467.9,56.9,34.5,37.9,0.77,79.4,12.47,13.32,422.6,Severe
2020-02-20,66.5,289.0,77.7,109.8,213.8,0.4,186.9,17.05,23.88,246.4,Poor
2020-02-21,55.0,65.1,22.4,119.3,68.1,1.07,5.2,17.86,16.5,91.6,Satisfactory
2020-02-22,256.7,528.0,27.9,44.8,236.6,3.41,30.9,11.7,4.28,457.8,Severe
2020-02-23,331.7,541.5,53.9,50.0,40.4,7.65,194.3,16.38,9.04,465.7,Severe
2020-02-24,359.6,503.8,115.1,129.0,204.7,1.02,0.1,13.42,29.81,444.2,Severe
2020-02-25,149.3,484.0,24.8,7.4,98.6,1.03,48.5,9.41,11.48,432.0,Severe
2020-02-26,487.8,110.3,117.2,109.6,239.1,1.89,128.9,2.5,0.22,495.1,Severe
2020-02-27,102.9,383.4,26.0,94.3,236.0,4.68,39.7,0.08,21.8,341.6,Very Poor
2020-02-28,293.5,251.4,84.2,22.6,56.5,6.52,23.4,0.05,11.23,417.9,Severe
2020-02-29,278.0,169.0,194.4,111.6,80.9,8.06,178.6,12.01,6.42,411.7,Severe
2020-03-01,45.5,507.5,197.8,85.2,170.5,2.54,20.4,8.0,23.21,445.8,Severe
2020-03-02,29.6,308.4,128.8,33.6,88.7,6.0,33.3,18.03,3.1,258.4,Poor
2020-03-03,177.9,329.1,146.3,70.7,113.3,5.54,167.4,19.86,9.94,344.7,Very Poor
2020-03-04,450.7,190.8,71.0,149.0,50.1,1.63,21.0,10.9,5.76,480.4,Severe
2020-03-05,244.9,1.6,37.7,12.2,214.4,6.5,80.8,3.99,9.04,396.1,Very Poor
2020-03-06,235.7,449.2,81.2,10.4,126.3,3.07,75.3,5.34,23.14,411.7,Severe
2020-03-07,250.8,575.7,173.2,148.4,227.5,9.68,36.8,18.02,12.14,485.8,Severe
2020-03-08,346.0,75.6,166.5,64.4,247.4,3.18,173.2,8.74,10.31,438.8,Severe
2020-03-09,204.6,139.5,55.2,115.3,248.6,8.04,188.5,1.21,11.37,365.2,Very Poor
2020-03-10,420.5,167.9,181.2,135.9,229.3,9.88,88.9,16.52,24.87,468.4,Severe
2020-03-11,1.1,490.8,121.7,12.6,109.4,8.95,186.9,4.53,26.96,436.0,Severe
2020-03-12,487.4,177.8,154.4,138.9,105.6,8.2,115.1,10.51,16.61,495.0,Severe
2020-03-13,343.7,164.1,83.9,65.9,33.5,7.31,161.4,18.02,24.4,437.9,Severe
2020-03-14,292.2,471.4,7.4,1.7,224.4,9.81,42.9,10.06,8.66,424.7,Severe
2020-03-15,336.8,267.3,156.1,94.7,87.0,9.76,166.0,9.54,5.4,435.1,Severe
2020-03-16,44.1,536.3,50.3,17.4,159.5,8.37,109.1,7.65,3.73,462.7,Severe
2020-03-17,78.6,169.2,137.1,140.1,87.4,1.36,152.3,11.54,24.48,176.8,Moderate
2020-03-18,51.6,257.0,67.2,46.7,18.3,3.15,133.1,14.05,2.24,207.0,Poor
2020-03-19,184.3,228.0,45.2,146.3,39.0,7.65,108.2,12.76,6.1,349.6,Very Poor
2020-03-20,475.8,491.4,113.4,103.4,27.3,8.34,188.9,12.55,18.08,490.4,Severe
2020-03-21,136.9,319.0,46.6,83.2,115.5,0.38,189.6,4.32,11.82,313.2,Very Poor
2020-03-22,7.0,261.3,141.0,34.8,115.9,0.99,6.5,18.54,7.76,211.3,Poor
2020-03-23,229.8,593.7,8.1,126.5,99.8,3.38,132.9,7.48,19.63,496.3,Severe
2020-03-24,224.4,539.2,198.6,129.5,154.7,3.58,59.6,15.66,23.13,464.4,Severe
2020-03-25,133.4,159.2,70.1,111.4,24.2,3.95,27.0,11.95,6.67,310.5,Very Poor
2020-03-26,52.2,203.2,81.7,124.0,21.9,0.32,40.3,6.17,2.09,168.9,Moderate
2020-03-27,447.6,165.4,25.8,45.9,181.9,3.29,134.8,7.12,3.94,479.2,Severe
2020-03-28,277.7,296.5,61.4,79.6,137.1,2.95,64.4,4.93,0.87,411.6,Severe
2020-03-29,391.5,368.6,57.0,68.1,95.7,3.91,133.6,10.63,18.43,456.9,Severe
2020-03-30,255.5,506.1,130.7,107.4,130.4,5.84,55.0,19.08,12.22,445.0,Severe
2020-03-31,332.9,98.4,41.5,38.6,96.2,7.08,69.9,18.23,2.34,433.6,Severe
2020-04-01,30.7,265.3,167.6,1.5,135.7,3.37,14.5,2.18,13.81,215.3,Poor
2020-04-02,476.8,577.2,196.9,124.6,103.8,7.3,162.8,0.48,25.23,490.8,Severe
2020-04-03,41.2,311.9,66.4,145.0,138.3,3.46,64.5,7.18,15.5,261.9,Poor
2020-04-04,433.9,363.3,191.1,132.3,228.4,3.86,25.8,6.94,0.24,473.7,Severe
2020-04-05,0.8,46.4,38.6,65.8,63.6,2.4,56.7,7.31,20.48,104.8,Moderate
2020-04-06,333.9,576.3,19.8,128.6,1.2,8.19,112.7,5.57,1.32,486.1,Severe
2020-04-07,410.6,138.3,105.2,76.5,147.7,6.56,68.6,18.36,29.69,464.5,Severe
2020-04-08,347.6,499.3,72.8,55.7,102.1,8.91,12.8,16.21,13.34,441.0,Severe
2020-04-09,114.6,519.5,179.6,100.2,78.7,7.75,138.4,10.83,7.74,452.8,Severe
2020-04-10,94.2,45.6,194.3,98.3,103.5,7.53,101.2,13.92,29.37,211.9,Poor
2020-04-11,268.4,305.4,184.0,38.7,232.3,0.61,185.0,7.96,8.53,407.9,Severe
2020-04-12,223.8,561.9,87.1,118.2,45.8,4.65,62.4,2.59,27.57,477.7,Severe
2020-04-13,470.9,129.8,143.2,0.2,243.2,4.53,147.2,15.18,19.05,488.4,Severe
2020-04-14,50.8,517.6,39.4,13.3,110.9,8.69,163.0,11.15,21.11,451.7,Severe
2020-04-15,304.8,337.2,168.4,80.1,146.0,9.53,16.7,5.92,13.49,422.4,Severe
2020-04-16,231.6,261.6,101.1,139.7,182.4,5.47,26.4,8.52,9.44,385.9,Very Poor
2020-04-17,111.4,551.0,67.6,27.2,212.0,0.82,181.5,11.08,29.63,471.3,Severe
2020-04-18,141.7,259.1,89.1,45.1,87.4,6.34,198.5,15.95,3.83,316.9,Very Poor
2020-04-19,327.5,101.8,66.4,36.6,185.0,1.75,182.0,9.04,20.1,431.4,Severe
2020-04-20,325.9,171.0,152.0,99.3,215.9,1.88,126.2,12.18,4.26,430.8,Severe
2020-04-21,207.6,131.6,95.7,122.6,24.5,1.85,37.3,9.7,0.94,367.5,Very Poor
2020-04-22,406.6,132.2,96.2,28.8,123.0,8.74,174.8,4.8,1.13,462.9,Severe
2020-04-23,403.7,469.5,107.8,83.8,175.0,5.75,92.2,8.58,14.42,461.7,Severe
2020-04-24,374.1,147.0,193.6,18.4,245.8,6.36,23.7,16.99,22.15,449.9,Severe
2020-04-25,297.5,461.7,104.1,130.3,179.1,8.73,175.1,16.87,14.05,419.5,Severe
2020-04-26,330.5,520.8,174.9,11.0,43.9,6.55,191.2,7.67,13.85,453.6,Severe
2020-04-27,401.8,259.1,188.8,7.8,212.3,9.55,189.3,19.19,2.42,461.0,Severe
2020-04-28,73.0,587.5,1.1,48.1,81.5,6.75,114.5,18.32,4.77,492.7,Severe
2020-04-29,424.2,15.4,34.0,22.0,148.1,9.97,177.7,7.92,6.97,469.9,Severe
2020-04-30,99.8,567.9,10.4,90.3,32.5,6.22,189.8,6.23,15.53,481.2,Severe
2020-05-01,219.3,21.4,117.2,127.5,82.3,3.27,99.7,15.52,23.23,376.4,Very Poor
2020-05-02,336.0,77.9,71.9,112.3,190.3,1.79,143.6,0.48,7.64,434.8,Severe
2020-05-03,325.7,561.4,154.4,41.1,184.3,0.71,92.4,1.57,26.38,477.4,Severe
2020-05-04,254.4,287.6,179.9,143.8,185.7,8.57,120.5,19.15,15.54,402.4,Severe
2020-05-05,478.9,588.8,127.0,38.4,139.1,1.48,29.6,13.38,8.13,493.4,Severe
2020-05-06,328.3,564.3,92.5,115.0,9.0,0.54,85.8,9.09,6.32,479.1,Severe
2020-05-07,404.2,244.2,198.8,83.1,216.1,7.48,172.7,6.1,5.4,461.9,Severe
2020-05-08,53.9,218.0,170.1,43.6,221.7,9.81,144.5,2.71,11.81,241.7,Poor
2020-05-09,148.4,330.7,146.3,106.6,134.9,5.74,162.3,17.91,19.34,322.0,Very Poor
2020-05-10,124.1,456.1,95.3,123.2,212.9,6.95,177.8,9.32,21.62,415.7,Severe
2020-05-11,393.4,142.2,10.9,20.5,61.6,5.85,112.3,17.89,21.36,457.6,Severe
2020-05-12,491.5,352.9,157.4,139.4,164.4,2.04,182.6,18.08,17.54,496.6,Severe
2020-05-13,167.5,499.7,70.0,84.2,241.9,2.65,25.5,14.06,10.49,441.2,Severe
2020-05-14,95.9,537.6,134.6,107.0,232.2,0.11,175.7,14.81,29.9,463.4,Severe
2020-05-15,185.2,326.0,101.1,54.3,172.8,7.21,193.7,5.96,27.0,350.3,Very Poor
2020-05-16,331.0,275.3,59.0,10.4,241.7,0.78,111.3,6.68,5.5,432.8,Severe
2020-05-17,193.9,174.6,184.5,95.3,175.7,6.29,56.7,11.55,20.86,356.9,Very Poor
2020-05-18,363.8,405.7,98.4,103.7,215.1,9.94,97.6,9.17,27.37,445.8,Severe
2020-05-19,225.0,116.2,75.6,40.0,48.1,7.93,132.0,10.64,20.03,380.8,Very Poor
2020-05-20,270.1,528.4,117.9,2.8,226.0,4.56,0.5,15.07,4.26,458.1,Severe
2020-05-21,485.5,6.8,0.3,0.4,152.7,8.8,34.2,5.8,17.59,494.2,Severe
2020-05-22,386.1,60.9,183.6,68.7,136.5,7.83,128.3,6.09,26.56,454.7,Severe
2020-05-23,8.5,194.7,33.1,81.2,152.2,7.69,25.6,19.85,18.73,172.2,Moderate
2020-05-24,186.8,377.6,159.6,40.6,156.0,5.67,179.3,10.14,25.34,351.5,Very Poor
2020-05-25,337.2,206.2,25.2,17.4,197.9,1.46,192.4,13.11,29.22,435.3,Severe
2020-05-26,440.2,255.8,154.2,24.1,4.9,0.82,48.1,17.53,20.14,476.2,Severe
2020-05-27,381.8,141.5,111.1,92.3,203.8,3.62,53.2,0.86,1.69,453.0,Severe
2020-05-28,470.4,65.7,175.1,106.2,167.4,6.33,73.7,3.34,23.1,488.2,Severe
2020-05-29,498.2,590.0,148.2,12.2,90.1,3.08,150.0,7.66,16.9,499.3,Severe
2020-05-30,121.5,136.4,183.8,103.7,26.3,3.83,85.6,7.39,29.39,301.4,Very Poor
2020-05-31,47.7,428.5,107.3,55.0,230.8,2.46,66.8,4.07,14.26,398.1,Very Poor
2020-06-01,83.2,267.9,118.6,46.8,216.3,9.0,75.2,14.97,13.96,236.3,Poor
2020-06-02,210.0,257.9,171.5,41.7,125.8,9.01,32.1,17.74,21.97,369.3,Very Poor
2020-06-03,460.2,313.6,33.2,123.8,146.3,3.24,41.7,11.46,29.9,484.2,Severe
2020-06-04,482.4,359.8,17.2,145.5,240.7,7.6,87.7,16.39,12.12,493.0,Severe
2020-06-05,53.4,82.9,122.4,59.1,87.5,7.58,12.6,9.82,2.99,169.7,Moderate
2020-06-06,290.9,438.6,90.3,118.3,246.1,2.8,146.1,14.27,9.8,416.9,Severe
2020-06-07,151.3,162.0,100.8,105.4,34.0,1.79,128.2,18.56,27.81,324.3,Very Poor
2020-06-08,281.7,516.0,188.7,78.8,88.0,4.43,177.6,17.19,18.33,450.8,Severe
2020-06-09,295.8,226.0,77.2,39.5,88.4,2.85,179.0,0.88,1.95,418.8,Severe
2020-06-10,415.2,206.8,147.8,25.7,133.0,0.25,143.2,16.14,3.21,466.3,Severe
2020-06-11,475.5,326.3,22.6,138.4,56.1,5.4,75.6,2.23,2.19,490.3,Severe
2020-06-12,295.4,554.5,187.5,64.2,222.6,4.67,148.5,19.9,25.87,473.3,Severe
2020-06-13,244.7,101.0,112.6,14.3,199.5,1.2,133.0,0.07,13.54,395.9,Very Poor
2020-06-14,492.2,553.6,58.6,57.3,151.6,1.37,65.9,7.72,12.87,496.9,Severe
2020-06-15,373.7,124.9,101.9,80.0,107.4,1.93,167.8,4.09,18.83,449.8,Severe
2020-06-16,334.1,227.7,118.6,25.2,189.4,1.45,3.8,2.45,7.28,434.0,Severe
2020-06-17,18.2,543.1,142.9,12.7,12.8,9.73,184.1,15.27,21.39,466.7,Severe
2020-06-18,129.3,185.1,113.7,143.0,135.9,1.77,123.1,6.43,0.01,307.4,Very Poor
2020-06-19,36.0,593.9,70.9,4.4,125.5,1.15,197.8,2.36,28.19,496.4,Severe
2020-06-20,280.1,526.0,136.5,107.6,93.8,7.54,91.4,6.97,12.22,456.7,Severe
2020-06-21,362.7,544.0,47.9,85.2,197.3,0.35,41.5,12.9,12.83,467.2,Severe
2020-06-22,417.6,522.6,58.8,1.5,110.4,7.61,20.6,4.5,2.1,467.2,Severe
2020-06-23,103.7,0.3,40.4,49.6,233.0,5.28,183.6,3.59,26.95,253.0,Poor
2020-06-24,218.9,589.1,45.6,90.9,165.4,0.12,128.6,15.9,25.46,493.6,Severe
2020-06-25,17.8,269.3,184.1,17.5,195.8,9.64,101.0,17.2,21.84,219.3,Poor
2020-06-26,294.2,271.2,0.4,126.6,11.9,9.28,150.9,18.74,2.83,418.2,Severe
2020-06-27,435.1,97.5,77.6,70.3,146.6,6.9,176.8,18.99,17.15,474.2,Severe
2020-06-28,232.3,33.0,120.7,16.3,193.3,6.33,187.4,9.55,20.09,386.4,Very Poor
2020-06-29,218.2,204.0,41.2,32.3,87.6,9.31,19.7,19.13,9.86,375.6,Very Poor
2020-06-30,37.0,537.6,106.4,61.5,204.5,9.51,24.7,4.75,2.38,463.4,Severe
2020-07-01,115.3,140.1,104.4,78.6,66.2,0.25,29.3,11.94,1.74,284.0,Poor
2020-07-02,102.8,139.3,139.1,82.0,86.7,4.06,182.2,14.63,22.01,241.3,Poor
2020-07-03,395.8,61.8,192.7,116.4,115.6,1.26,61.2,15.19,23.45,458.6,Severe
2020-07-04,319.3,166.7,172.1,73.5,32.6,0.78,3.9,11.55,9.49,428.2,Severe
2020-07-05,209.7,548.9,55.4,30.6,161.7,6.81,45.6,14.73,24.24,470.1,Severe
2020-07-06,391.1,390.0,112.5,30.7,193.8,4.62,85.3,4.61,24.4,456.7,Severe
2020-07-07,326.9,196.1,69.4,137.1,12.8,5.65,76.7,13.05,25.65,431.2,Severe
2020-07-08,297.3,102.1,179.1,87.5,185.0,3.68,57.3,10.85,25.07,419.4,Severe
2020-07-09,495.6,130.3,199.1,56.3,104.1,5.66,138.5,19.6,18.79,498.3,Severe
2020-07-10,313.4,248.8,56.0,2.2,59.3,3.9,156.3,3.8,14.89,425.8,Severe
2020-07-11,465.5,536.1,198.7,62.8,83.0,4.21,39.8,11.62,11.95,486.3,Severe
2020-07-12,69.2,59.9,47.6,134.3,92.5,9.04,16.9,18.81,9.38,188.0,Moderate
2020-07-13,86.1,464.9,164.7,31.3,190.2,4.71,76.5,0.21,14.68,420.9,Severe
2020-07-14,468.3,395.6,193.6,113.1,67.2,8.65,157.1,19.41,10.43,487.4,Severe
2020-07-15,210.3,514.4,191.2,64.3,114.5,9.43,163.8,3.29,21.24,449.9,Severe
2020-07-16,282.1,538.9,85.5,29.0,171.5,6.98,42.4,2.73,7.68,464.2,Severe
2020-07-17,425.4,92.8,76.0,96.4,221.8,8.53,118.8,3.1,11.25,470.3,Severe
2020-07-18,9.6,237.3,182.2,94.4,47.7,4.81,198.2,10.25,5.25,275.1,Poor
2020-07-19,115.8,398.0,145.4,49.2,146.1,5.77,33.7,19.75,11.2,359.9,Very Poor
2020-07-20,233.0,278.5,39.0,58.5,147.6,2.39,49.4,0.82,1.21,387.0,Very Poor
2020-07-21,129.7,500.7,8.3,82.9,80.5,1.14,195.2,7.45,23.43,441.8,Severe
2020-07-22,43.0,4.7,109.8,101.9,123.2,9.73,195.1,3.38,27.93,267.3,Poor
2020-07-23,291.3,229.1,94.6,94.5,26.9,0.38,170.3,8.98,18.86,417.0,Severe
2020-07-24,404.1,137.9,42.5,4.1,217.7,0.48,136.8,2.03,16.68,461.9,Severe
2020-07-25,88.0,232.9,153.1,88.6,70.3,2.0,104.6,6.93,27.87,193.2,Moderate
2020-07-26,466.1,187.3,116.4,118.9,39.2,6.58,68.0,6.0,16.81,486.5,Severe
2020-07-27,53.5,252.2,197.5,111.8,170.3,5.46,57.9,3.52,28.86,202.2,Poor
2020-07-28,110.1,270.1,99.1,46.9,132.9,9.5,27.9,16.2,3.42,266.2,Poor
2020-07-29,268.1,468.5,80.9,38.0,162.7,8.71,73.5,18.84,10.88,423.0,Severe
2020-07-30,317.3,85.4,182.9,137.7,189.1,4.06,68.9,4.43,2.14,427.4,Severe
2020-07-31,404.2,72.0,16.6,76.1,4.4,7.38,86.5,11.49,23.94,461.9,Severe
2020-08-01,406.9,466.5,188.7,41.0,80.4,7.64,110.0,13.85,21.65,463.0,Severe
2020-08-02,60.0,517.9,119.0,147.8,179.8,3.61,53.6,6.35,3.94,451.9,Severe
2020-08-03,209.3,328.3,179.2,39.5,64.5,6.58,180.6,1.2,28.87,368.8,Very Poor
2020-08-04,487.2,5.0,157.2,28.0,133.4,3.53,94.7,2.58,12.69,494.9,Severe
2020-08-05,495.8,277.7,180.3,149.7,136.5,2.99,162.0,13.68,27.67,498.3,Severe
2020-08-06,379.4,515.6,146.1,43.8,242.1,1.94,164.6,3.28,6.96,452.1,Severe
2020-08-07,366.2,425.9,163.0,128.8,103.2,3.07,117.0,6.91,27.81,446.8,Severe
2020-08-08,398.8,390.7,29.0,144.6,80.3,1.88,67.6,18.99,22.63,459.8,Severe
2020-08-09,215.7,80.8,71.3,13.5,200.3,6.12,199.9,2.74,10.22,373.7,Very Poor
2020-08-10,455.3,159.5,72.8,93.6,204.7,9.86,174.5,7.12,22.78,482.2,Severe
2020-08-11,211.5,166.0,156.1,129.1,220.1,6.01,41.9,15.63,7.96,370.5,Very Poor
2020-08-12,289.2,558.2,71.4,70.3,236.0,2.4,53.2,3.6,24.65,475.5,Severe
2020-08-13,238.2,48.9,57.9,51.6,1.3,1.77,104.3,4.85,11.47,390.9,Very Poor
2020-08-14,414.1,101.3,81.0,44.5,187.8,7.08,109.7,13.5,8.63,465.8,Severe
2020-08-15,485.7,257.1,198.8,128.9,28.6,1.07,108.6,3.07,13.61,494.3,Severe
2020-08-16,133.2,87.9,145.8,116.8,86.0,6.95,118.8,5.14,19.78,310.4,Very Poor
2020-08-17,60.1,75.5,151.7,147.2,15.8,3.7,72.7,15.47,9.97,121.1,Moderate
2020-08-18,393.1,349.7,171.2,122.1,79.5,5.81,188.8,8.42,15.15,457.5,Severe
2020-08-19,352.1,106.0,17.6,70.7,64.8,1.01,90.6,13.88,20.55,441.2,Severe
2020-08-20,115.7,225.4,194.7,122.4,13.0,3.07,146.3,17.7,20.17,285.3,Poor
2020-08-21,390.6,196.8,176.7,32.3,233.9,6.25,35.6,11.39,25.91,456.5,Severe
2020-08-22,435.7,101.7,14.4,9.2,68.7,4.84,196.7,9.65,8.16,474.4,Severe
2020-08-23,190.7,211.4,78.6,46.7,81.1,3.99,37.1,16.77,24.5,354.5,Very Poor
2020-08-24,29.3,294.3,8.3,17.2,46.0,6.35,105.9,0.84,7.96,244.3,Poor
2020-08-25,469.7,123.6,30.3,112.7,11.5,9.76,151.6,17.53,19.59,488.0,Severe
2020-08-26,277.0,532.6,40.9,119.0,11.7,3.85,14.8,17.06,8.08,460.5,Severe
2020-08-27,287.1,343.4,8.8,58.6,88.5,9.97,155.3,4.65,4.62,415.4,Severe
2020-08-28,456.5,272.3,44.0,18.8,106.3,8.69,166.1,18.96,29.12,482.7,Severe
2020-08-29,249.9,594.1,41.3,48.1,132.2,0.99,151.3,11.78,24.81,496.5,Severe
2020-08-30,177.6,204.4,37.1,60.4,85.7,9.85,165.0,10.48,0.55,344.4,Very Poor
2020-08-31,399.8,300.9,29.1,138.8,126.6,5.77,163.8,15.04,20.37,460.2,Severe
2020-09-01,229.6,69.5,73.4,107.4,7.3,9.18,94.1,17.21,8.43,384.3,Very Poor
2020-09-02,40.0,552.7,120.4,99.7,245.5,2.74,59.0,1.42,4.19,472.3,Severe
2020-09-03,457.5,375.6,162.7,5.6,58.0,9.71,79.7,7.49,7.2,483.1,Severe
2020-09-04,442.1,51.3,44.5,97.1,117.3,6.8,37.5,0.2,18.29,477.0,Severe
2020-09-05,96.8,152.3,140.4,81.6,72.3,8.5,72.7,5.96,18.15,220.8,Poor
2020-09-06,214.1,506.0,56.8,117.7,231.5,4.8,84.2,16.97,27.83,444.9,Severe
2020-09-07,439.9,524.9,91.2,66.2,249.9,5.99,86.2,9.85,16.61,476.1,Severe
2020-09-08,467.7,230.8,98.3,138.3,242.8,6.62,180.5,15.2,28.42,487.2,Severe
2020-09-09,340.6,483.4,95.2,96.6,127.7,7.4,106.9,7.51,11.72,436.6,Severe
2020-09-10,487.4,309.2,125.3,21.4,147.6,8.91,175.9,18.54,5.63,495.0,Severe
2020-09-11,81.1,293.2,9.3,40.0,239.0,1.9,16.8,16.94,11.29,259.0,Poor
2020-09-12,87.7,291.2,195.4,76.8,246.6,0.59,81.6,18.14,4.19,266.6,Poor
2020-09-13,282.2,402.8,189.4,132.0,28.0,4.54,12.7,12.72,12.92,413.4,Severe
2020-09-14,39.2,477.1,78.3,126.1,58.4,8.95,198.5,12.06,6.67,428.0,Severe
2020-09-15,484.8,527.9,161.7,17.2,115.7,3.72,167.0,16.04,20.43,494.0,Severe
2020-09-16,319.1,88.5,197.6,56.6,31.6,8.24,119.1,2.26,26.78,428.1,Severe
2020-09-17,48.5,138.4,132.0,26.3,159.7,4.29,16.6,14.83,20.13,179.7,Moderate
2020-09-18,281.1,190.2,133.2,96.5,182.6,9.1,138.8,15.37,26.28,413.0,Severe
2020-09-19,426.0,86.5,41.7,116.8,25.2,2.92,93.0,14.8,22.5,470.6,Severe
2020-09-20,129.0,10.4,149.2,62.9,37.8,9.6,48.3,16.59,24.2,307.1,Very Poor
2020-09-21,410.1,61.6,144.2,146.7,72.3,9.96,191.7,0.27,14.46,464.3,Severe
2020-09-22,297.6,194.7,153.5,38.3,43.7,0.15,35.5,11.99,17.66,419.5,Severe
2020-09-23,345.0,441.1,69.1,9.2,140.7,6.62,136.3,8.79,9.59,438.4,Severe
2020-09-24,320.8,448.6,29.8,100.9,65.9,2.82,176.7,19.98,0.04,428.8,Severe
2020-09-25,412.1,576.8,114.9,122.3,200.7,3.15,11.6,7.88,12.94,486.4,Severe
2020-09-26,445.3,500.5,40.0,26.5,37.1,3.92,189.6,5.71,21.21,478.3,Severe
